INSERT INTO SPETTATORE (NOME, COGNOME, DATA_DI_NASCITA) VALUES
('Pamela', 'Gutierrez', '2005-09-11'),
('Angela', 'Garcia', '1992-01-31'),
('Kimberly', 'Williams', '1957-02-09'),
('Michael', 'Hernandez', '2004-04-24'),
('John', 'Lawrence', '1983-10-19'),
('Debra', 'Stewart', '1954-01-08'),
('Corey', 'Blake', '1943-03-29'),
('Thomas', 'Vance', '1953-02-17'),
('Rachel', 'Smith', '1930-01-06'),
('Gina', 'Garcia', '1929-09-12'),
('Joshua', 'Vazquez', '1926-05-06'),
('Deborah', 'Porter', '1939-01-12'),
('Donna', 'Day', '1918-02-23'),
('Keith', 'Brown', '1953-07-19'),
('Kristina', 'Huynh', '2006-04-02'),
('Michael', 'Moore', '1938-06-17'),
('Kristen', 'Barnes', '1981-06-16'),
('Steven', 'Sanchez', '1997-07-11'),
('Scott', 'Thompson', '1954-12-25'),
('Jeanette', 'Simmons', '1909-04-03'),
('Matthew', 'Brady', '1946-05-01'),
('Lauren', 'French', '1913-02-06'),
('Crystal', 'Riley', '1995-02-20'),
('Brittany', 'Hunt', '1946-09-02'),
('Marcus', 'Burnett', '1923-12-16'),
('Jennifer', 'Hardy', '1981-04-23'),
('Chad', 'Barnett', '2001-08-01'),
('Linda', 'Davis', '1955-05-06'),
('Taylor', 'Ellis', '1917-07-02'),
('Linda', 'Cunningham', '1996-05-01'),
('James', 'Stone', '1958-10-11'),
('Tony', 'West', '1978-05-11'),
('Jake', 'Fernandez', '1938-01-18'),
('Kenneth', 'Peters', '1934-12-11'),
('Natalie', 'Roberts', '1933-02-18'),
('Ronald', 'Zimmerman', '1909-04-24'),
('Shelly', 'Potts', '1958-10-14'),
('Brian', 'Patterson', '1952-06-29'),
('Elijah', 'Cole', '1969-05-22'),
('Morgan', 'Gonzales', '1997-01-15'),
('Patrick', 'Anderson', '1990-01-27'),
('Sarah', 'Ball', '1957-02-28'),
('Andrew', 'Vasquez', '1926-06-07'),
('Emily', 'Mason', '1955-09-23'),
('Jeffrey', 'Yang', '1951-01-04'),
('Scott', 'Lane', '1910-06-07'),
('Keith', 'Jackson', '1984-06-04'),
('Mary', 'Watts', '1961-08-12'),
('Scott', 'Wells', '1981-08-29'),
('Ricky', 'Hanson', '1983-10-11'),
('Brian', 'Jackson', '2002-05-20'),
('Jennifer', 'Hampton', '1949-12-13'),
('Charles', 'Levine', '1913-09-26'),
('Jackie', 'Meyer', '1969-11-27'),
('Michelle', 'Davis', '1941-07-06'),
('Jerry', 'Henderson', '1942-04-18'),
('Scott', 'Fisher', '1981-10-26'),
('Craig', 'Richard', '1985-02-15'),
('Timothy', 'Rogers', '1969-07-23'),
('Nathaniel', 'Freeman', '2001-05-18'),
('Kathryn', 'Ferguson', '1953-09-07'),
('Johnathan', 'Brown', '1996-05-24'),
('Emily', 'Leonard', '1982-03-30'),
('Amanda', 'Odom', '1990-03-28'),
('Ana', 'Chung', '1934-01-07'),
('Patricia', 'Horn', '1932-06-17'),
('Danielle', 'Williams', '1979-12-12'),
('Brian', 'Navarro', '1973-05-29'),
('Martha', 'Ellis', '1946-02-26'),
('Craig', 'Green', '1960-01-10'),
('Kerri', 'Miller', '1985-08-31'),
('Peter', 'Phillips', '1918-01-29'),
('Amy', 'Robinson', '1930-09-19'),
('Cynthia', 'Evans', '1915-05-05'),
('Elizabeth', 'Hess', '1963-08-11'),
('Robert', 'James', '1938-11-23'),
('Joshua', 'Pitts', '1951-02-04'),
('Michele', 'Herrera', '1927-12-11'),
('Melissa', 'Chaney', '1929-07-05'),
('Crystal', 'Patrick', '1951-07-10'),
('Scott', 'Schwartz', '1937-07-02'),
('Chad', 'Pope', '1929-06-24'),
('Rebecca', 'Maddox', '1931-03-09'),
('Jessica', 'Thomas', '1933-01-07'),
('Jesus', 'King', '2001-08-19'),
('Grace', 'Hickman', '1983-10-26'),
('Christopher', 'Smith', '1910-07-03'),
('Aaron', 'Brown', '1935-10-23'),
('Brandi', 'Stephens', '1929-07-02'),
('Jane', 'Bowman', '1962-08-22'),
('Jerry', 'Hernandez', '1911-02-01'),
('Steven', 'Thompson', '1936-12-25'),
('Anna', 'Hayes', '1973-01-29'),
('Joshua', 'Bryant', '1917-12-28'),
('Joseph', 'Taylor', '1923-07-07'),
('Brian', 'Martin', '1989-03-27'),
('Jason', 'Nguyen', '1935-09-02'),
('Breanna', 'Lozano', '1995-09-17'),
('Barbara', 'Christian', '1993-10-06'),
('Scott', 'Best', '1928-04-17'),
('Kristin', 'Fox', '1949-05-15'),
('Thomas', 'Marshall', '1966-07-07'),
('Erica', 'Solomon', '1959-05-30'),
('Sue', 'Morales', '1920-03-19'),
('Bill', 'Perez', '1998-09-17'),
('Kelly', 'Rice', '1996-10-29'),
('Elaine', 'Garrison', '1991-04-18'),
('Austin', 'Summers', '1954-12-02'),
('Elizabeth', 'Wood', '1938-01-07'),
('Guy', 'Leon', '1960-04-24'),
('Stephanie', 'Smith', '1955-02-13'),
('Lisa', 'Phelps', '1974-11-04'),
('Stephen', 'Wise', '1929-09-21'),
('Vanessa', 'Mcguire', '2001-10-08'),
('Matthew', 'Wagner', '1941-10-04'),
('Timothy', 'Chambers', '1942-11-18'),
('Nancy', 'Moore', '1977-04-10'),
('Zachary', 'Wells', '1996-03-22'),
('Brian', 'Bates', '1984-08-19'),
('Paul', 'Gomez', '1963-06-28'),
('Caleb', 'Thompson', '1951-07-21'),
('David', 'Horn', '1984-03-21'),
('Michael', 'Rangel', '1997-04-26'),
('Matthew', 'Hayes', '1982-09-22'),
('Jamie', 'Wilcox', '1926-05-03'),
('Cindy', 'Estrada', '1928-07-30'),
('Michael', 'Mitchell', '1958-05-25'),
('Matthew', 'Atkins', '1955-05-27'),
('Shelby', 'Winters', '1989-12-19'),
('James', 'Harrell', '1981-05-27'),
('Christopher', 'Mcdaniel', '2001-07-01'),
('Amy', 'Delgado', '1944-08-04'),
('Sara', 'Oliver', '1911-08-30'),
('Jose', 'Hill', '1984-01-06'),
('Robert', 'Morgan', '1932-03-30'),
('Gregory', 'Love', '1914-05-04'),
('Bryan', 'Matthews', '1999-03-10'),
('Briana', 'Johnston', '1933-08-16'),
('Paul', 'Larson', '1994-03-31'),
('Edward', 'Moran', '1971-10-16'),
('Nancy', 'Hudson', '1914-12-31'),
('Sherry', 'Bailey', '1965-11-18'),
('Cory', 'Lynch', '1961-08-12'),
('Donna', 'Smith', '1984-08-05'),
('Gregory', 'Harper', '2004-05-16'),
('Christopher', 'Crawford', '1966-08-23'),
('Dylan', 'Peters', '2003-02-21'),
('Mary', 'Sharp', '1983-03-09'),
('Adrienne', 'Moore', '1969-05-12'),
('David', 'Pace', '1961-05-12'),
('David', 'Campos', '1908-09-09'),
('Joseph', 'Allen', '1977-12-14'),
('David', 'Cross', '2002-03-15'),
('Caleb', 'Sanders', '1975-11-25'),
('Jennifer', 'Ramos', '1946-05-29'),
('Ernest', 'Campbell', '1952-05-15'),
('Charles', 'Howe', '1988-11-13'),
('Evan', 'Ramirez', '1913-12-31'),
('Margaret', 'Williams', '1923-05-18'),
('Mary', 'Erickson', '2006-02-11'),
('Tony', 'Smith', '1910-09-27'),
('Lauren', 'Walton', '1931-05-20'),
('Lauren', 'Anderson', '1975-12-24'),
('Nicholas', 'Norris', '1961-07-05'),
('Stacey', 'Russell', '1935-10-11'),
('Tyler', 'Thornton', '1929-05-27'),
('Paul', 'Hood', '1936-08-11'),
('Jennifer', 'Allen', '1914-05-09'),
('Rita', 'Rice', '1969-09-30'),
('Rebecca', 'Thomas', '1914-05-09'),
('Katherine', 'Allen', '1937-06-19'),
('Lori', 'Rosario', '1913-10-03'),
('Stephanie', 'Lawrence', '1938-08-21'),
('Jenna', 'Stewart', '1930-11-26'),
('Glenn', 'Davis', '1932-10-29'),
('Theresa', 'Johnson', '1990-09-04'),
('Antonio', 'Rodriguez', '1951-07-23'),
('Lisa', 'Williams', '1942-08-30'),
('Steven', 'Hartman', '1994-01-06'),
('Lisa', 'Benson', '1925-04-18'),
('Joseph', 'Ferguson', '1916-03-18'),
('Jeffrey', 'Davis', '1918-02-17'),
('Bethany', 'Mann', '1998-09-19'),
('Dustin', 'Peters', '1940-12-29'),
('Adam', 'Larsen', '1982-01-26'),
('Kristina', 'Morales', '1969-12-16'),
('Lisa', 'Figueroa', '1976-03-06'),
('Alexandra', 'Barajas', '1981-09-19'),
('John', 'Wise', '1952-05-09'),
('Jennifer', 'Rogers', '1917-05-09'),
('Tammy', 'Hudson', '2004-08-19'),
('Edward', 'Sanders', '1937-02-13'),
('Edward', 'Mcmahon', '1973-09-17'),
('Andrew', 'Gonzalez', '1955-10-30'),
('Ashley', 'Callahan', '1962-05-05'),
('Laurie', 'Gonzalez', '1959-03-09'),
('Shannon', 'Vaughn', '1962-02-02'),
('Kevin', 'Ashley', '1991-06-25'),
('Elijah', 'Rodgers', '1969-08-08'),
('Barry', 'Jimenez', '1917-10-26'),
('Joseph', 'Lam', '1963-08-07'),
('Kenneth', 'Valdez', '1968-07-10'),
('Miguel', 'Jones', '1937-09-20'),
('Monica', 'Ellis', '1993-07-17'),
('Michael', 'Reynolds', '2002-10-11'),
('Scott', 'Santiago', '1925-11-22'),
('Thomas', 'Townsend', '1909-10-29'),
('Kathryn', 'Marks', '1913-04-28'),
('Robert', 'Howard', '1990-01-03'),
('Daniel', 'Brown', '1920-12-26'),
('Diana', 'Murray', '1914-07-17'),
('Autumn', 'Turner', '1929-04-20'),
('Lauren', 'Lang', '1968-02-20'),
('Michael', 'Nicholson', '1931-11-16'),
('Heather', 'Shaw', '1958-10-07'),
('Danielle', 'Wilson', '1951-05-11'),
('David', 'Vasquez', '1920-04-08'),
('Kevin', 'Elliott', '1989-07-14'),
('William', 'Booth', '1912-09-24'),
('Kimberly', 'Cardenas', '1929-05-09'),
('Alexander', 'Sharp', '1912-03-30'),
('Gary', 'Pearson', '1984-03-25'),
('James', 'Ellison', '1934-04-13'),
('Jesus', 'Cox', '1910-03-03'),
('Renee', 'Terry', '1940-09-29'),
('Shannon', 'Shepherd', '1939-04-06'),
('Amy', 'Barrett', '1910-07-15'),
('Kimberly', 'Williams', '2002-08-08'),
('Amanda', 'Taylor', '1913-03-29'),
('Wendy', 'Jackson', '1963-03-29'),
('Cassandra', 'Bryant', '1923-10-25'),
('Carly', 'Brock', '1908-09-18'),
('Edward', 'Patterson', '1939-03-05'),
('Eric', 'Robbins', '1961-11-21'),
('Elizabeth', 'Cunningham', '1969-08-03'),
('Nicole', 'Matthews', '1935-10-17'),
('Sara', 'Peterson', '1956-10-24'),
('Yesenia', 'Ford', '1935-07-13'),
('Rebecca', 'Rice', '1919-04-20'),
('Stephanie', 'Farley', '1931-04-11'),
('Shawn', 'Rush', '1953-12-21'),
('James', 'Jones', '2002-12-23'),
('Jeremy', 'Arnold', '1938-10-30'),
('Brenda', 'Smith', '1970-04-16'),
('William', 'Oconnor', '1950-11-01'),
('Anita', 'Garner', '1994-05-01'),
('Robert', 'Watson', '1993-04-26'),
('Julie', 'Ford', '1958-10-03'),
('Wendy', 'Walker', '1988-09-03'),
('Tyler', 'Smith', '1915-03-14'),
('Wanda', 'Gray', '1973-04-10'),
('Sergio', 'Bell', '1945-03-09'),
('Amy', 'Anderson', '1909-06-10'),
('Annette', 'Dunn', '1916-10-06'),
('Steven', 'Webb', '1968-04-10'),
('Laura', 'Phillips', '1915-09-19'),
('Jessica', 'Terry', '2003-11-09'),
('Alyssa', 'Roman', '1963-02-18'),
('Lisa', 'Mcclain', '2003-03-23'),
('Sean', 'Smith', '1975-09-07'),
('Kevin', 'Mckenzie', '1965-09-10'),
('Mark', 'Reyes', '1968-02-16'),
('Eric', 'Morrison', '1956-11-23'),
('Sarah', 'Alvarez', '1929-10-10'),
('Jodi', 'Young', '1912-05-02'),
('Ricky', 'Carlson', '1911-05-04'),
('Christy', 'Beltran', '1982-09-16'),
('Sierra', 'Jackson', '1935-08-14'),
('William', 'Thompson', '1955-10-05'),
('Troy', 'Hudson', '1956-11-08'),
('Rachael', 'Cameron', '1943-06-24'),
('Elizabeth', 'Hanna', '1950-04-13'),
('Melissa', 'Swanson', '1932-11-11'),
('Ann', 'Brown', '1983-01-02'),
('James', 'Lewis', '1942-12-13'),
('Rachel', 'Acosta', '1927-08-18'),
('Ethan', 'Russell', '1956-08-20'),
('Abigail', 'Wade', '1998-10-21'),
('Carolyn', 'Smith', '1970-08-18'),
('Stephanie', 'Rodriguez', '1912-10-06'),
('Eric', 'Mccoy', '1909-06-19'),
('Angela', 'Cook', '2001-04-17'),
('Tara', 'Rowland', '2001-04-26'),
('Carla', 'Patterson', '1973-10-17'),
('Ashley', 'Costa', '1981-10-23'),
('Michael', 'Macdonald', '1923-11-21'),
('William', 'Vance', '1941-10-22'),
('Ashley', 'Tran', '1936-12-13'),
('Timothy', 'Dominguez', '1954-06-03'),
('Michael', 'Bush', '1955-11-23'),
('Jennifer', 'Sutton', '1951-08-28'),
('Brian', 'Rogers', '1980-12-11'),
('Mario', 'Gregory', '1974-04-04'),
('Melissa', 'Whitaker', '1945-04-10'),
('Angela', 'Turner', '1990-03-09'),
('William', 'Massey', '1946-01-25'),
('Kerry', 'Johnson', '1911-03-03'),
('Logan', 'Horn', '1931-01-01'),
('Jennifer', 'Jones', '1971-04-14'),
('Christopher', 'Adkins', '1942-04-21'),
('Joseph', 'Malone', '1966-06-21'),
('Anthony', 'Williams', '1954-05-06'),
('Donald', 'Carter', '1916-12-03'),
('Bill', 'Bartlett', '1943-07-18'),
('Sean', 'Hardy', '1929-12-02'),
('Matthew', 'Flores', '1996-05-16'),
('Melanie', 'Walsh', '1954-10-02'),
('Cynthia', 'Morris', '1995-06-30'),
('Cassandra', 'Baker', '1936-03-21'),
('Ryan', 'Hernandez', '1957-09-12'),
('Anthony', 'Graves', '1965-10-02'),
('Todd', 'Shelton', '1909-02-14'),
('Donald', 'Carrillo', '2000-03-10'),
('Lucas', 'Mullins', '1967-02-13'),
('Victoria', 'Olson', '1959-03-05'),
('Amber', 'Curry', '1975-12-05'),
('Michael', 'Page', '1983-12-12'),
('Alexander', 'Collins', '1998-03-02'),
('Stephanie', 'Mata', '2000-03-12'),
('Dillon', 'Warren', '1981-05-25'),
('Derek', 'Hurley', '1972-10-29'),
('Amy', 'Hughes', '1919-07-11'),
('Raymond', 'Brown', '1949-07-06'),
('Megan', 'Walters', '1953-07-07'),
('Suzanne', 'Chapman', '1929-08-04'),
('Kristina', 'Jordan', '1928-04-11'),
('Laura', 'Alvarez', '1912-10-14'),
('Andrew', 'Chavez', '1961-03-12'),
('Kathryn', 'Gilbert', '1946-07-27'),
('Sherry', 'Kelly', '2003-03-16'),
('Kyle', 'Sanders', '1974-02-03'),
('Robert', 'Becker', '1965-10-01'),
('Shannon', 'Nelson', '1935-04-03'),
('Kristen', 'Ramirez', '1990-11-04'),
('Joel', 'Lee', '2001-08-31'),
('Gabriel', 'Winters', '1927-06-23'),
('Mark', 'Hutchinson', '1977-06-19'),
('Tanya', 'Calderon', '1946-07-25'),
('Andrew', 'Ford', '1957-01-01'),
('Patricia', 'Baker', '1917-05-08'),
('David', 'Jones', '1973-12-30'),
('Shawn', 'Baker', '2001-11-25'),
('Lisa', 'Burnett', '2005-09-01'),
('John', 'Miller', '1952-02-19'),
('Kevin', 'Smith', '1982-07-23'),
('Laura', 'Brown', '1924-05-25'),
('Keith', 'Delgado', '1967-05-29'),
('Robert', 'Cook', '1939-07-04'),
('Kimberly', 'Johnson', '1955-10-30'),
('Alyssa', 'Williams', '1955-08-02'),
('Shannon', 'Lee', '1941-11-03'),
('Natasha', 'Martin', '1944-12-26'),
('Alexander', 'Ferguson', '1988-12-10'),
('David', 'Griffin', '1973-03-28'),
('Jamie', 'Murray', '1917-01-07'),
('Jacob', 'Taylor', '1946-01-13'),
('Amber', 'Barnett', '1949-04-21'),
('Kristin', 'Scott', '1923-05-09'),
('Lindsey', 'Porter', '1934-03-31'),
('Kathleen', 'Melton', '1938-02-04'),
('Adam', 'Sherman', '1938-09-27'),
('Karen', 'Bradford', '1945-01-26'),
('Paul', 'Harrell', '1983-08-17'),
('Christopher', 'Harris', '1954-02-18'),
('Raymond', 'Young', '1949-02-03'),
('Alex', 'Ramirez', '1971-07-20'),
('Robert', 'Powell', '1995-06-22'),
('Rachael', 'King', '1947-03-25'),
('Daniel', 'Allen', '1924-06-01'),
('David', 'Morton', '1924-04-11'),
('Tiffany', 'Torres', '1973-05-23'),
('James', 'Johnson', '1971-03-03'),
('Lawrence', 'Barton', '1992-04-16'),
('Darlene', 'Jones', '1957-06-12'),
('Jessica', 'Lucas', '1957-08-09'),
('Valerie', 'Stewart', '1949-01-06'),
('Thomas', 'Davis', '1981-07-06'),
('Haley', 'Yu', '1970-08-14'),
('Kathy', 'Pena', '1969-09-20'),
('Amber', 'Thomas', '1969-04-03'),
('Amy', 'Allen', '1975-08-08'),
('Rachel', 'Preston', '1929-08-16'),
('Carl', 'Conrad', '1919-03-05'),
('Katherine', 'Ramirez', '1932-12-20'),
('Amanda', 'Hayes', '1958-05-08'),
('Christopher', 'Rodriguez', '1964-07-12'),
('Dustin', 'Smith', '1930-12-16'),
('Joseph', 'Mendez', '1972-09-19'),
('Michael', 'Marquez', '1963-05-28'),
('Leslie', 'Harris', '1973-03-27'),
('Joseph', 'Dennis', '1932-10-27'),
('Anthony', 'Robertson', '1939-07-23'),
('Mary', 'Green', '1911-10-28'),
('William', 'Morris', '1910-09-25'),
('Taylor', 'Miller', '1932-01-18'),
('Matthew', 'Bass', '1974-10-02'),
('Christopher', 'Browning', '2004-09-30'),
('Jacqueline', 'Sanchez', '1941-11-30'),
('Andrea', 'Harris', '1960-02-16'),
('Brittany', 'Simmons', '1993-06-22'),
('Kylie', 'Carter', '1910-02-11'),
('Amber', 'West', '1939-04-01'),
('Kathy', 'Waters', '1941-10-09'),
('Brian', 'Carter', '1920-10-27'),
('Michael', 'Leblanc', '1960-11-16'),
('Jessica', 'Miller', '1972-11-12'),
('Mandy', 'Morgan', '1958-09-09'),
('Brittany', 'Jimenez', '1991-10-30'),
('Stephanie', 'Velez', '1942-04-25'),
('Brandon', 'Curtis', '1909-01-15'),
('Jerry', 'Morrison', '1958-11-28'),
('Tiffany', 'Mejia', '1985-10-02'),
('Alicia', 'Chapman', '1964-02-18'),
('Carol', 'Wilson', '1932-05-13'),
('Anthony', 'Johnson', '1975-05-09'),
('Mary', 'King', '1923-11-28'),
('Christine', 'Stevens', '1987-10-13'),
('Kyle', 'Chambers', '1921-11-12'),
('Cody', 'Hall', '1985-05-02'),
('Albert', 'Smith', '1962-01-04'),
('Steven', 'Wilson', '1964-06-30'),
('Jennifer', 'Fernandez', '1961-01-01'),
('Kathy', 'Turner', '1940-05-10'),
('Ashley', 'Smith', '1944-08-21'),
('Thomas', 'Smith', '1941-05-17'),
('Denise', 'Landry', '2000-11-18'),
('Anthony', 'Mccann', '2000-07-26'),
('Amanda', 'Hernandez', '1968-08-17'),
('Darrell', 'Richard', '1971-01-20'),
('Frank', 'Phillips', '1922-04-29'),
('Linda', 'Sloan', '1975-06-07'),
('Scott', 'Mclean', '1973-04-17'),
('Eric', 'Ray', '1919-07-17'),
('Deborah', 'Lawson', '1951-05-07'),
('Wanda', 'Ward', '1983-07-10'),
('Jesus', 'Valencia', '1946-09-02'),
('Jeffrey', 'Armstrong', '1995-04-20'),
('Robert', 'Moore', '1972-12-10'),
('Michael', 'Jones', '1918-01-22'),
('Dustin', 'Nelson', '1997-02-19'),
('Megan', 'Perez', '1977-10-07'),
('Allison', 'Galloway', '1925-11-17'),
('Kathy', 'Kelly', '1968-07-23'),
('Melissa', 'Chambers', '1973-12-14'),
('Michael', 'Sellers', '1935-07-03'),
('Michelle', 'Faulkner', '1942-04-09'),
('Julie', 'Daniels', '1950-07-07'),
('Monica', 'Peterson', '1955-08-29'),
('Rachel', 'Tran', '1922-10-29'),
('Todd', 'Brown', '1967-06-03'),
('Billy', 'Koch', '1957-07-20'),
('Jose', 'Luna', '1933-04-16'),
('Brian', 'Bradley', '1910-08-01'),
('Brandon', 'Scott', '1959-12-29'),
('Kristen', 'Sims', '1995-09-24'),
('Darin', 'Gonzales', '2004-05-31'),
('David', 'Ray', '1953-11-17'),
('Kevin', 'Frank', '1930-10-06'),
('Brian', 'Obrien', '2004-08-09'),
('Kiara', 'Lynch', '1987-04-01'),
('Vicki', 'Taylor', '2006-03-02'),
('Jessica', 'Martin', '1953-08-29'),
('David', 'Farmer', '1947-06-29'),
('Rachel', 'Torres', '1937-07-31'),
('Michael', 'Campbell', '1997-04-03'),
('Jonathan', 'Mccann', '1939-08-29'),
('Michael', 'Hall', '1914-10-25'),
('Michael', 'King', '1986-12-11'),
('Shirley', 'Bryant', '1977-08-18'),
('Martha', 'Collins', '1940-09-19'),
('Tina', 'Peck', '1990-07-06'),
('Gabriel', 'Holmes', '1930-11-08'),
('Brian', 'Edwards', '1992-11-10'),
('Jennifer', 'Avery', '2006-05-21'),
('Ashley', 'Johnson', '1922-07-11'),
('John', 'Owens', '1934-04-17'),
('Teresa', 'Hill', '1929-05-28'),
('Melissa', 'Snyder', '1923-09-04'),
('Phillip', 'Krause', '1959-12-08'),
('Martin', 'Banks', '1947-03-28'),
('Matthew', 'Duran', '1970-08-23'),
('Dillon', 'Henderson', '2002-10-02'),
('Robert', 'Green', '1985-01-09'),
('Ashley', 'Martinez', '1929-09-29'),
('Richard', 'Lindsey', '1916-06-28'),
('Kimberly', 'Rodgers', '1930-06-21'),
('Joseph', 'Schneider', '1943-07-23'),
('Ryan', 'Garcia', '1969-12-24'),
('Timothy', 'Peterson', '1976-04-05'),
('Isaiah', 'Phillips', '1913-10-16'),
('Lisa', 'Ferguson', '1984-03-19'),
('Joshua', 'Martin', '1973-10-24'),
('Richard', 'Turner', '1969-04-20'),
('Edwin', 'Turner', '1966-09-02'),
('Jeffery', 'Rowland', '1994-08-20'),
('Nicole', 'Jordan', '1966-12-02'),
('Cody', 'Smith', '1963-05-25'),
('Angela', 'Gordon', '1910-07-23'),
('John', 'Wells', '1999-06-17'),
('Michael', 'Chambers', '1971-12-20'),
('Patricia', 'Robinson', '1987-01-05'),
('Cynthia', 'Reeves', '1949-11-09'),
('Cheyenne', 'Valdez', '1913-10-20'),
('Charles', 'Brown', '1999-04-26'),
('Jerry', 'Johnson', '1974-05-12'),
('Todd', 'Joyce', '1926-08-03'),
('Michael', 'Hoffman', '1967-06-23'),
('Adam', 'Green', '1940-07-06'),
('Caitlyn', 'Conner', '1984-03-03'),
('Tara', 'Anderson', '1959-07-22'),
('Alec', 'Armstrong', '2001-03-01'),
('Donna', 'Mccormick', '1941-07-24'),
('Robert', 'Butler', '1961-05-20'),
('Joseph', 'Cabrera', '1984-10-04'),
('Rachael', 'Torres', '1985-09-14'),
('Eric', 'Taylor', '1916-02-21'),
('Suzanne', 'Harris', '1971-09-08'),
('Bonnie', 'Avila', '1992-12-30'),
('Bonnie', 'Thomas', '1936-04-02'),
('Jeremy', 'Lopez', '1964-04-14'),
('Elizabeth', 'Hernandez', '1937-03-15'),
('Richard', 'Stewart', '1921-09-15'),
('Amy', 'Bennett', '1909-09-07'),
('Eric', 'Griffin', '1992-06-11'),
('Jennifer', 'Tucker', '1990-06-07'),
('Jennifer', 'Garcia', '1967-10-17'),
('Douglas', 'Mcknight', '1975-02-05'),
('Joseph', 'Chung', '1970-03-21'),
('Mark', 'Diaz', '1949-12-24'),
('Renee', 'Hood', '1974-12-31'),
('Tina', 'Yang', '1965-06-28'),
('Brianna', 'Miller', '1987-09-11'),
('Clinton', 'Mullins', '1953-04-09'),
('Jeremy', 'Savage', '1952-03-16'),
('Jacqueline', 'Reynolds', '2003-12-04'),
('Christopher', 'Smith', '1967-06-30'),
('Shaun', 'Johnson', '1977-09-15'),
('Kelly', 'Alvarado', '1971-12-03'),
('Mackenzie', 'Gentry', '1984-10-15'),
('Kelsey', 'Vaughan', '1910-07-01'),
('Laura', 'Webster', '1998-09-13'),
('Dustin', 'Bailey', '1953-06-11'),
('Joann', 'Kelly', '1961-07-14'),
('Christopher', 'Williams', '1954-08-17'),
('Mary', 'Richardson', '1992-05-29'),
('Meredith', 'Anderson', '1970-07-27'),
('Jeffrey', 'Patel', '1988-01-04'),
('Mackenzie', 'Miller', '1917-03-27'),
('Natalie', 'Sullivan', '1973-09-28'),
('Anna', 'Parker', '1917-08-11'),
('David', 'Ramsey', '1930-10-13'),
('Laura', 'Parker', '1948-06-15'),
('Jillian', 'Grimes', '1977-10-14'),
('Cody', 'Parks', '1972-05-27'),
('Luis', 'Shepherd', '1971-04-07'),
('Christopher', 'Simpson', '1965-06-15'),
('Michaela', 'Gonzalez', '1970-08-02'),
('Melissa', 'Sanchez', '1958-03-13'),
('Brandon', 'Jacobs', '1982-10-15'),
('David', 'Edwards', '1948-01-19'),
('Stephen', 'Smith', '1985-08-22'),
('Christine', 'Harris', '1960-01-26'),
('Karen', 'Underwood', '1977-08-13'),
('Denise', 'Johnson', '1936-06-20'),
('Caitlin', 'Robbins', '1914-12-21'),
('Zachary', 'Webb', '1913-12-25'),
('Jimmy', 'Bishop', '1999-05-31'),
('Nicholas', 'Sanchez', '1992-05-23'),
('Amy', 'Hubbard', '1998-04-25'),
('Laura', 'Lane', '1992-03-29'),
('Christine', 'Brown', '1981-01-22'),
('Anthony', 'Martinez', '1981-01-29'),
('Timothy', 'Miller', '1989-02-04'),
('Tara', 'Reed', '2005-03-20'),
('Michael', 'Lopez', '1914-06-17'),
('James', 'Lee', '2002-04-08'),
('Mary', 'Lopez', '1948-07-08'),
('Jose', 'Harper', '1919-10-13'),
('Adam', 'Downs', '1983-01-22'),
('Megan', 'Landry', '1991-05-05'),
('Rebecca', 'Quinn', '1920-09-19'),
('Charles', 'Smith', '1994-08-20'),
('Steven', 'Alvarez', '1934-09-03'),
('Tyler', 'Ward', '1949-03-22'),
('Zachary', 'Charles', '1979-02-03'),
('Scott', 'Contreras', '1946-05-02'),
('Pamela', 'Mathews', '1952-09-12'),
('Benjamin', 'Stanton', '1918-02-13'),
('Danielle', 'Thompson', '1990-02-27'),
('Joanne', 'Hendrix', '1989-05-11'),
('Daniel', 'Johnson', '1964-01-09'),
('Jessica', 'Mack', '1930-12-10'),
('Janet', 'Rodriguez', '1960-12-31'),
('Michael', 'Freeman', '1973-09-21'),
('Stephanie', 'Montes', '1924-07-02'),
('Joann', 'Hall', '1922-05-26'),
('John', 'Weiss', '1931-01-03'),
('Phillip', 'Roberts', '1911-12-23'),
('Brandi', 'Benjamin', '1956-02-16'),
('Jaclyn', 'Copeland', '1940-07-18'),
('Susan', 'Berry', '1931-04-27'),
('Sharon', 'Moreno', '1929-10-01'),
('Jaime', 'Daniels', '1943-09-05'),
('Eric', 'Gonzalez', '1909-10-09'),
('Thomas', 'Ritter', '1947-11-22'),
('Victoria', 'Mendoza', '1985-12-26'),
('Daniel', 'Duncan', '1909-12-30'),
('Taylor', 'Barrett', '1995-08-23'),
('Raymond', 'Cochran', '1956-10-04'),
('Andrew', 'Baker', '1939-11-17'),
('Diane', 'Powers', '1974-03-13'),
('Heather', 'Reed', '1933-04-11'),
('Maureen', 'Waters', '1981-06-10'),
('Rachel', 'Riggs', '1942-11-16'),
('Eric', 'Graham', '1951-04-14'),
('Tyler', 'James', '1986-05-21'),
('David', 'Norton', '1990-07-24'),
('Patricia', 'Lyons', '1910-08-05'),
('John', 'Nielsen', '1984-09-14'),
('Jason', 'Cain', '2000-06-02'),
('Autumn', 'Moreno', '1980-05-30'),
('Stephanie', 'Ball', '1931-10-02'),
('Brenda', 'Wilkins', '2000-09-26'),
('Amber', 'Tran', '1969-11-02'),
('Kimberly', 'Harris', '1952-12-13'),
